pdb	seed_dir	DockQ_HA	iRMSD_HA	fnat_HA	DockQ_LA
7y3o	seed_1181241943	0.02582482367454711	17.42418115780891	0.0	0.027297600879154654
7y3o	seed_1812140441	0.05469622996311733	10.072356093818627	0.0	0.05346052813466109
7y3o	seed_2746317213	0.0711726926321482	9.24648445423073	0.029411764705882353	0.06561315468831123
7y3o	seed_3163119785	0.020688454355260864	15.416458102966194	0.0	0.020587437626091203
7y3o	seed_958682846	0.03447111123097895	13.85997678109038	0.0	0.03821675236952537
7yds	seed_1181241943	0.02767038771336927	11.767137601972284	0.0	0.05861791896780719
7yds	seed_1812140441	0.044973930953317996	10.414713775271663	0.0	0.0745682110580396
7yds	seed_2746317213	0.035037538695550076	10.793243178363566	0.0	0.06537410077039296
7yds	seed_3163119785	0.048555746804078585	10.086578495962263	0.0	0.07825006829093031
7yds	seed_958682846	0.2958677072300397	3.5947269109248903	0.2647058823529412	0.2757104271324535
7yv1	seed_1181241943	0.03871129890241439	9.993688351211434	0.0	0.03800616705801867
7yv1	seed_1812140441	0.026466362366482945	14.502108988077097	0.0	0.024913065031223702
7yv1	seed_2746317213	0.03312235762531348	14.354955330817758	0.0	0.03426976781951645
7yv1	seed_3163119785	0.02954466910336156	13.554274899014496	0.0	0.027093155958982425
7yv1	seed_958682846	0.031055743254754218	12.622414230618666	0.0	0.02875886221569821
7z1x	seed_1181241943	0.39694545686760185	1.6692415403563072	0.660377358490566	
7z1x	seed_1812140441				
7z1x	seed_2746317213				
7z1x	seed_3163119785				
7z1x	seed_958682846				
7zau	seed_1181241943				
7zau	seed_1812140441				
7zau	seed_2746317213				
7zau	seed_3163119785				
7zau	seed_958682846				
7zoz	seed_1181241943	0.04076862241487678	10.409373969348916	0.0	0.041438349560299695
7zoz	seed_1812140441	0.052728476030863926	9.629379289351128	0.0	0.048420264597778956
7zoz	seed_2746317213	0.10438247141434986	7.8591948508250535	0.12121212121212122	0.1233924564858645
7zoz	seed_3163119785	0.07392625661413764	10.711843867674908	0.06060606060606061	0.15175333473105493
7zoz	seed_958682846	0.055039512836661336	10.455968916437829	0.0	0.07019922029135103
8a44	seed_1181241943	0.006154971899843581	16.183540001184436	0.0	0.003986870220040731
8a44	seed_1812140441	0.003939512282391581	19.326488369330665	0.0	0.003279570679971267
8a44	seed_2746317213	0.006804160803368144	15.675524621738585	0.0	0.004332507295391161
8a44	seed_3163119785	0.003870240949733457	19.45654637634281	0.0	0.0032760174376120486
8a44	seed_958682846	0.01033053612881187	10.756680061313327	0.0	0.009102346121021261
8acf	seed_1181241943	0.690799033404061	0.988107593314308	0.7959183673469388	0.7618968801852853
8acf	seed_1812140441	0.8009790300642177	0.9080860349588067	0.8367346938775511	0.9082319974476712
8acf	seed_2746317213	0.6939298291585243	0.9843485187823653	0.8163265306122449	0.7504302048473775
8acf	seed_3163119785	0.6684808829529657	1.0146636433391623	0.7755102040816326	0.7476739740673882
8acf	seed_958682846	0.6509793758659138	1.0292200766520818	0.7346938775510204	0.7059711008760533
8aci	seed_1181241943	0.7555554053772465	0.6104565306507646	0.851063829787234	0.8030436071638066
8aci	seed_1812140441	0.7394877979289721	0.6688054411200282	0.851063829787234	0.8013469982212005
8aci	seed_2746317213	0.8398978058141089	0.6307882443424835	0.8297872340425532	0.9206633674662008
8aci	seed_3163119785	0.7642233837455672	0.6459429681147882	0.851063829787234	0.7960426366174796
8aci	seed_958682846	0.6988697307388271	0.7109470256106507	0.7872340425531915	0.7082633712642644
8aok	seed_1181241943	0.5034256401875847	2.161940616590826	0.4423076923076923	
8aok	seed_1812140441	0.5126611623575631	2.5885277382509817	0.5769230769230769	
8aok	seed_2746317213	0.5054803010988421	2.2146198892910673	0.5384615384615384	
8aok	seed_3163119785	0.5023464489381179	2.310441690578305	0.4423076923076923	
8aok	seed_958682846	0.5019397377681413	2.339530333691177	0.5961538461538461	
8aom	seed_1181241943	0.8474233823991749	0.7226724992720397	0.9318181818181818	
8aom	seed_1812140441	0.7923009939974911	0.9608013295503931	0.9090909090909091	
8aom	seed_2746317213	0.9157793642702069	0.47708025339941224	0.9318181818181818	
8aom	seed_3163119785	0.7948647191452386	1.0535401602368286	0.9318181818181818	
8aom	seed_958682846	0.7703977005065107	1.0671699245427653	0.9318181818181818	
8apy	seed_1181241943	0.8530997094356331	0.8748233914183204	0.8289473684210527	
8apy	seed_1812140441	0.8546105811429708	0.8415780288875305	0.8157894736842105	
8apy	seed_2746317213	0.8484913805494708	0.8478651637639991	0.8026315789473685	
8apy	seed_3163119785	0.8536263594291221	0.8509251975359475	0.8157894736842105	
8apy	seed_958682846	0.8693995069438752	0.829331476112642	0.8552631578947368	
8b17	seed_1181241943	0.9176266596584264	0.5274404501011041	0.8987341772151899	
8b17	seed_1812140441	0.680004816809129	1.1892378097131342	0.6835443037974683	
8b17	seed_2746317213	0.9271404057470688	0.45245063933358926	0.9240506329113924	
8b17	seed_3163119785	0.4299355384714884	2.007995156105899	0.45569620253164556	
8b17	seed_958682846	0.890641765620498	0.6147800651007556	0.8987341772151899	
8b18	seed_1181241943	0.9270349046660443	0.5116660690599978	0.922077922077922	
8b18	seed_1812140441	0.6963896585879111	1.1697939654146001	0.7142857142857143	
8b18	seed_2746317213	0.9301756352058588	0.44115275999882814	0.935064935064935	
8b18	seed_3163119785	0.44242832139940863	1.9850538456456381	0.4805194805194805	
8b18	seed_958682846	0.8958154130256966	0.6031409954764477	0.9090909090909091	
8b19	seed_1181241943	0.928226602855248	0.48086867141291134	0.9102564102564102	
8b19	seed_1812140441	0.6898507600362908	1.1740777779085982	0.6923076923076923	
8b19	seed_2746317213	0.9331914695231855	0.42934648817822185	0.9358974358974359	
8b19	seed_3163119785	0.4400909561031831	2.0001609979648234	0.47435897435897434	
8b19	seed_958682846	0.8959985382465995	0.5876502911860737	0.8974358974358975	
8b1a	seed_1181241943	0.9166169644210784	0.515704539086776	0.8987341772151899	
8b1a	seed_1812140441	0.6859846799539436	1.174679210789166	0.6835443037974683	
8b1a	seed_2746317213	0.9210004356265212	0.4614732317815954	0.9240506329113924	
8b1a	seed_3163119785	0.43865782010511006	1.9992065057083976	0.46835443037974683	
8b1a	seed_958682846	0.8849505543649633	0.6095666335672802	0.8860759493670886	
8b1d	seed_1181241943	0.9378746504490821	0.5035946693455416	0.9452054794520548	
8b1d	seed_1812140441	0.7085393831812853	1.1593314684486709	0.7397260273972602	
8b1d	seed_2746317213	0.9446152848462394	0.4415489038066384	0.9726027397260274	
8b1d	seed_3163119785	0.45341949262544484	1.9734914078603336	0.5068493150684932	
8b1d	seed_958682846	0.908150857436409	0.5890220035511201	0.9315068493150684	
8b1e	seed_1181241943	0.9259939233206124	0.5058102886372948	0.92	
8b1e	seed_1812140441	0.695356241731948	1.178962246389168	0.7066666666666667	
8b1e	seed_2746317213	0.9304050958965283	0.4490245033183612	0.9466666666666667	
8b1e	seed_3163119785	0.4439737646209027	2.001990493384304	0.48	
8b1e	seed_958682846	0.8898337283867814	0.6040018730728008	0.8933333333333333	
8b1f	seed_1181241943	0.9224842284968502	0.5346601544092197	0.9210526315789473	
8b1f	seed_1812140441	0.6917949122251089	1.1804917839827522	0.6973684210526315	
8b1f	seed_2746317213	0.9229008330767462	0.4742963296946503	0.9342105263157895	
8b1f	seed_3163119785	0.44320202987065843	1.9862590404038285	0.47368421052631576	
8b1f	seed_958682846	0.8914847760938135	0.6237734607878895	0.9078947368421053	
8b1g	seed_1181241943	0.9201779347135252	0.5761154368544825	0.9342105263157895	
8b1g	seed_1812140441	0.6998021620395641	1.1750869134452953	0.7236842105263158	
8b1g	seed_2746317213	0.9219255932631518	0.5091025980313454	0.9473684210526315	
8b1g	seed_3163119785	0.45752678476705033	1.9584273650407933	0.5131578947368421	
8b1g	seed_958682846	0.8817585498696966	0.6510160867370558	0.8947368421052632	
8b7h	seed_1181241943	0.6198107951710864	1.3674033215741648	0.7575757575757576	0.7021191178859546
